2025-06-24 20:18:48 [INFO] routes\parametes.py - Getting parameters for strategy: EMACrossoverMultiTimeFrame
2025-06-24 20:18:51 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:18:51 [INFO] routes\strategies.py - Getting strategies
2025-06-24 20:18:51 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:18:51 [INFO] routes\strategies.py - Getting strategies
2025-06-24 20:18:52 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:18:53 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:18:54 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:18:55 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:18:56 [INFO] routes\backtest.py - Getting backtest details for ID: 3
2025-06-24 20:18:56 [INFO] helpers\db.py - Strategy row: (2,)
2025-06-24 20:18:56 [INFO] routes\backtest.py - Getting backtest details for ID: 3
2025-06-24 20:18:56 [INFO] helpers\db.py - Strategy row: (2,)
2025-06-24 20:19:03 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:03 [INFO] routes\strategies.py - Getting strategies
2025-06-24 20:19:03 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:03 [INFO] routes\strategies.py - Getting strategies
2025-06-24 20:19:04 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:05 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:06 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:07 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:08 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:09 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:10 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:11 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:12 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:13 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:14 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:15 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:16 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:17 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:18 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:19 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:20 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:21 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:22 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:23 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:24 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:25 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:26 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:27 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:28 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:29 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:30 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:31 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:32 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:33 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:34 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:35 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:36 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:37 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:38 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:39 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:40 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:41 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:42 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:43 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:44 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:45 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:46 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:47 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:48 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:49 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:50 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:51 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:52 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:19:53 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
